Sentence,"Expected triples <X, ACTION, Y>","Predicted triples <X, ACTION, Y>",PMID,Year,Journal title,Organization
"TFS-enhanced cleavage of RNAs in backtracked transcription complexes reactivates stalled RNAPs and dramatically accelerates transcription through histone-barriers, while Spt4-Spt5 changes to clamp-domain dynamics play a lesser-role in stabilizing transcription.
","<TFS-enhanced cleavage, accelerates, transcription>","< TFS-enhanced cleavage , accelerates , histone-barriers >",30592095,2019,Molecular microbiology,"Travis J Sanders 1, Marshall Lammers 1, Craig J Marshall 1, Julie E Walker 1, Erin R Lynch 2, Thomas J Santangelo 1 2"
"Since the induction of certain cytochrome P450 (CYP) enzymes accelerates warfarin metabolism, using CYP inducers, such as phenobarbital, to accelerate brodifacoum clearance seems plausible. ","<the induction, accelerates, warfarin metabolism>","< certain cytochrome P450 (CYP) , accelerates , warfarin metabolism > , < Since the induction of certain cytochrome P450 (CYP) enzymes accelerates warfarin metabolism, using CYP inducers, such as phenobarbital, to accelerate brodifacoum clearance seems plausible , accelerates , CYP inducers > , < Since the induction of certain cytochrome P450 (CYP) enzymes accelerates warfarin metabolism, using CYP inducers, such as phenobarbital, to accelerate brodifacoum clearance seems plausible , accelerates , warfarin metabolism > , < certain cytochrome P450 (CYP) , accelerate , warfarin metabolism > 
",30689138,2019,Drugs in R&D,"Israel Rubinstein 1 2, Richard van Breemen 3, Daniel G Nosal 3, Guy Weinberg 1 2, Ronald C Hershow 1, Douglas L Feinstein 4 5"
"Unfortunately, some scenarios are impossible to replicate on the bench, and competitive pressures often accelerate initiation of animal trials without sufficient understanding of parameter selections.","<competitive pressures, accelerate, initiation>","< some scenarios , accelerate , initiation > , < some scenarios , accelerate , animal trials > , < competitive pressures , accelerate , initiation >",23380845,2013,Bio medical engineering,"Arthur G Erdman 1, Daniel F Keefe, Randall Schiestl"
"Fibrin-sealed cells accelerate wound healing and microvascularization by supplying growth factors, and thus are promising as treatment against refractory cutaneous ulcers.","<Fibrin-sealed cells, accelerate, healing and microvascularization>","< Fibrin-sealed cells , accelerate , healing and microvascularization >",30323878,2018,Translational,"Takahiro Mizoguchi 1, Koji Ueno 1, Masashi Yanagihara 1, Makoto Samura 1, Hiroshi Kurazumi 1, Ryo Suzuki 1, Noriyasu Morikage 1, Kimikazu Hamano 1"
"To our knowledge, this is the first report demonstrating that hormones of a holometabolous insect modulate the contraction dynamics of an auxiliary heart, and the first report that shows that the hormones of any insect accelerate the velocity of hemolymph in the antennal space.","<the hormones, accelerate, the velocity>","< any insect accelerate the velocity of hemolymph in the antennal space , accelerate , hemolymph > , < the hormones , accelerate , the velocity > , < any insect , accelerate , hemolymph >",27247317,2016,Experimental biology,"Julia M Suggs 1, Talitha H Jones 2, Steven C Murphree 3, Julián F Hillyer 4"
"Instead, heparin accelerates the conversion of preformed TTR oligomers into larger aggregates.","<heparin, accelerates, the conversion>","< heparin , accelerates , the conversion > , < heparin , accelerates , preformed TTR oligomers >",21194234,2011,Biochemistry,"Steve Bourgault 1, James P Solomon, Natàlia Reixach, Jeffery W Kelly"
"In the doses used, motilin accelerated regional colonic transit but did not hasten gastric emptying or small bowel transit.","<motilin, accelerated, regional colonic transit>","< motilin , accelerated , regional colonic transit >",10886053,2000,Alimentary pharmacology & therapeutics,"T Chiba 1, G M Thomforde, L J Kost, R G Allen, S F Phillips"
"Although our previous study has shown that CCs accelerate the aging progression of mouse oocytes, the mechanism by which CCs accelerate oocyte aging is unknown. ","<CCs, accelerate, progression>",,17886273,2008,Molecular reproduction and development,"Tian-Wu Qiao 1, Na Liu, De-Qiang Miao, Xia Zhang, Dong Han, Li Ge, Jing-He Tan"
Previous studies have shown that supraphysiologic concentrations of thyroid hormone accelerate epidermis/SC ontogenesis.,"<supraphysiologic concentrations, accelerate, epidermis/SC ontogenesis>","< supraphysiologic concentrations , accelerate , epidermis/SC ontogenesis >",9357932,1997,Pediatric,"K Hanley 1, U P Devaskar, S J Hicks, Y Jiang, D Crumrine, P M Elias, M L Williams, K R Feingold"
"Studies have shown that exogenous nerve growth factor (NGF) accelerates ulcer healing, but the inefficient growth factor delivery system limits its clinical application.","<exogenous nerve growth factor (NGF), accelerates, ulcer healing>","< exogenous nerve growth factor (NGF) , accelerates , ulcer healing >",19283824,2010,Biomedical materials,"Wenjie Sun 1, Hang Lin, Bing Chen, Wenxue Zhao, Yannan Zhao, Zhifeng Xiao, Jianwu Dai"
Apoptotic hepatocytes accelerate blood coagulation through the expression of a PS-dependent pro-coagulant surface.,"<Apoptotic hepatocytes, accelerate, blood coagulation>","< Apoptotic hepatocytes , accelerate , blood coagulation > , < Apoptotic hepatocytes , accelerate , the expression >",15203081,2004,Hepatology,"Yasuhiro Miyamoto 1, Yasuhiro Takikawa, Shi De Lin, Shinichiro Sato, Kazuyuki Suzuki"
"The gross and histological results showed that ASCs significantly accelerated wound closure in normal and diabetic rat, including increased epithelialization and granulation tissue deposition.","<ASCs, accelerated, wound closure>","< ASCs , accelerated , wound closure >",20719083,2011,Cell transplantation,"Chunlei Nie 1, Daping Yang, Jin Xu, Zhenxing Si, Xiaoming Jin, Jiewu Zhang"
Studies in vitro indicate that low intensity ultrasound accelerates enzymatic thrombolysis through non-thermal mechanisms involving improvement in drug transport.,"<low intensity ultrasound, accelerates, enzymatic thrombolysis>","< low intensity ultrasound , accelerates , enzymatic thrombolysis >",11789973,2001,Vascular medicine,"C W Francis 1, V N Suchkova"
"These analyses revealed that the formation of PA SAMs accelerate the deposition of poorly crystallized HA, in an alkyl chain length-dependent manner.","<the formation, accelerate, the deposition>","< the formation , accelerate , the deposition >",23349144,2013,Biomedical materials,"Jiang Wu 1, Isao Hirata, Xianghui Zhao, Bo Gao, Masayuki Okazaki, Koichi Kato"
"We found that MNPs accelerated methanogenesis in agitated cultures, as has been observed previously for static cultures.","<MNPs, accelerated, methanogenesis>","< MNPs , accelerated , methanogenesis >",31562171,2019,Applied and environmental microbiology,"Ryo Inaba 1, Misa Nagoya 1, Atsushi Kouzuma 1, Kazuya Watanabe 2"
These databases of preselected sequences accelerate the selection of sequences that fold with minimal ensemble defect by replacing some of the trial and error of current refinement approaches. ,"<These databases, accelerate, the selection>","< These databases , accelerate , the selection > , < preselected sequences , accelerate , sequences >",30097542,2018,RNA,"Stanislav Bellaousov 1, Mohammad Kayedkhordeh 1, Raymond J Peterson 2, David H Mathews 1 3"
"Aluminium salts do not themselves stimulate peroxidation of ox-brain phospholipid liposomes, but they greatly accelerate the peroxidation induced by iron(II) salts at acidic pH values. ","<they, accelerate, the peroxidation>","< they , accelerate , the peroxidation >",2861853,1985,Biochimica et biophysica,"J M Gutteridge, G J Quinlan, I Clark, B Halliwell"
"Supporting this proposition is the observation that, following menopause (i.e. the loss of cyclic ovarian function), these diseases accelerate and ultimately comprise a major portion of the health burden of older women.","<these diseases, accelerate, the health burden>","< menopause (i.e , accelerate , the health burden > , < cyclic ovarian function) , accelerate , rate and ultimately comprise a major portion > , < these diseases , accelerate , the health burden >",18523378,2008,Gerontology,Jay R Kaplan 1
"One manifestation of this mechanism is that alkynyl substituents dramatically accelerate HDDA reactions, mainly by decreasing the distortion energy required to achieve the diradical transition state.","<alkynyl substituents, accelerate, HDDA reactions>","< One manifestation , accelerate , the distortion energy > , < alkynyl substituents , accelerate , HDDA reactions >",25329369,2014,Organic letters,"Yong Liang 1, Xin Hong, Peiyuan Yu, K N Houk"
